 
4	11	23	35	39	54	61	69	73	 
84	98	106	109	123	131	139	146	162	 
171	177	181	193	200	214	224	228	239	 
244	261	267	273	286	292	299	311	323	 
331	337	344	360	365	377	381	388	402	 
410	417	431	438	442	452	468	475	481	 
488	502	508	518	530	537	541	558	561	 
575	581	588	601	612	613	627	634	641	 
654	658	675	677	688	696	707	719	727	 
0	
