 
7	17	22	32	45	48	55	65	78	 
84	99	105	116	118	128	140	151	157	 
164	176	181	195	202	214	225	233	237	 
247	254	266	279	285	289	304	309	323	 
325	340	350	355	363	374	384	396	398	 
411	417	432	434	448	458	463	473	478	 
494	501	506	514	527	540	543	553	565	 
576	580	588	601	605	618	629	631	644	 
653	658	673	678	692	697	704	717	729	 
0	
